ticker,name,sector
SSE: 600519,Kweichow Moutai,
SSE: 601318,Ping An Insurance,
SZSE: 300750,CATL,
SSE: 600036,China Merchants Bank,
SZSE: 000333,Midea Group,
SZSE: 000858,Wuliangye Yibin,
SSE: 600900,China Yangtze Power,
SSE: 601166,Industrial Bank,
SSE: 601899,Zijin Mining Group,
SSE: 600030,CITIC Securities,
SSE: 600276,Jiangsu Hengrui Medicine,
SSE: 601398,Industrial and Commercial Bank of China,
SSE: 600887,Inner Mongolia Yili Industrial Group,
SZSE: 300059,East Money,
SZSE: 000651,Gree Electric,
SZSE: 300760,Mindray,
SZSE: 002594,BYD,
SSE: 601328,Bank of Communications,
SSE: 600309,Wanhua Chemical Group,
SZSE: 000725,BOE Technology Group,
SSE: 600919,Bank of Jiangsu,
SZSE: 002475,Luxshare Precision Industry,
SZSE: 300124,Shenzhen Inovance Technology,
SSE: 601288,Agricultural Bank of China,
SZSE: 002415,Hangzhou Hikvision Digital Technology,
SZSE: 000568,Luzhou Lao Jiao,
SSE: 601012,Longi Green Energy Technology,
SSE: 601088,China Shenhua Energy,
SSE: 601816,Beijing-Shanghai High Speed Railway,
SSE: 600028,China Petroleum & Chemical Corporation,
SSE: 600809,Shanxi Xinghuacun Fen Wine Factory,
SSE: 601668,China State Construction Engineering,
SSE: 603259,WuXi AppTec,
SZSE: 002714,Muyuan Foodstuff,
SZSE: 000001,Ping An Bank,
SZSE: 300498,Wens Foodstuff Group,
SSE: 600016,China Minsheng Bank,
SSE: 601857,PetroChina,
SSE: 601225,Shaanxi Coal Industry Company,
SZSE: 300308,Zhongji Innolight,
SSE: 688981,Semiconductor Manufacturing International Corporation,
SZSE: 000063,ZTE,
SSE: 601988,Bank of China,
SZSE: 002352,S.F. Holding,
SSE: 600406,NARI Technology,
SSE: 600941,China Mobile,
SZSE: 000338,Weichai Power,
SSE: 600050,China United Network Communications,
SZSE: 002230,Iflytek,
SSE: 600690,Qingdao Haier,
SSE: 601728,China Telecom Corporation,
SZSE: 300274,Sungrow Power Supply,
SZSE: 002142,Bank of Ningbo,
SSE: 600837,Haitong Securities Company,
SZSE: 000792,Qinghai Salt Lake Potash,
SSE: 601601,China Pacific Insurance,
SZSE: 000100,TCL Corporation,
SSE: 601888,China International Travel Service,
SSE: 600000,Shanghai Pudong Development Bank,
SSE: 600031,Sany Heavy Industry,
SSE: 601985,China National Nuclear Power,
SSE: 600150,China CSSC Holdings,
SSE: 688041,Hygon Information Technology,
SSE: 601766,CRRC Corporation,
SSE: 601169,Bank of Beijing,
SZSE: 002371,NAURA Technology Group,
SSE: 600089,TBEA,
SSE: 601688,Huatai Securities,
SSE: 601138,Foxconn Industrial Internet,
SZSE: 000625,Chongqing Changan Automobile,
SSE: 600438,Tongwei Company,
SSE: 600048,Poly Real Estate Group,
SSE: 603501,Will Semiconductor,
SSE: 600104,SAIC Motor,
SSE: 600660,Fuyao Glass Industry Group,
SZSE: 000002,China Vanke,
SZSE: 300015,Aier Eye Hospital,
SSE: 601211,Guotai Junan Securities,
SSE: 603288,Foshan Haitian Flavouring & Food Co,
SSE: 600436,Zhangzhou Pientzehuang Pharmaceutical,
SSE: 601919,China Cosco Holdings,
SSE: 600905,China Three Gorges Renewables (Group),
SSE: 601390,China Railway Group Limited,
SSE: 601229,Bank of Shanghai,
SZSE: 300122,Chongqing Zhifei Biological Products,
SZSE: 002027,Focus Media Information Technology,
SSE: 688012,Advanced Micro-Fabrication Equipment,
SSE: 688111,Beijing Kingsoft Office Software,
SSE: 601006,Daqin Railway,
SZSE: 002304,Jiangsu Yanghe Brewery Joint-Stock,
SSE: 601818,China Everbright Bank,
SSE: 600019,Baoshan Iron and Steel,
SSE: 688271,United Imaging,
SSE: 603019,Dawning Information Industry,
SSE: 600585,Anhui Conch Cement,
SZSE: 002050,ZHEJIANG SANHUA INTELLIGENT CONTROLS,
SZSE: 002466,Tianqi Lithium Industries,
SSE: 601658,Postal Savings Bank of China,
SSE: 601989,China Shipbuilding Industry Company,
SSE: 600938,CNOOC Limited,
SSE: 600999,China Merchants Securities,
SSE: 688036,Transsion,
SZSE: 000938,Unisplendour,
SSE: 601628,China Life Insurance Company,
SSE: 603986,GigaDevice,
SZSE: 002049,Unigroup Guoxin Microelectronics,
SSE: 601600,Aluminum Corporation of China Limited,
SSE: 600111,China Northern Rare Earth Group,
SSE: 688008,Montage Technology,
SZSE: 300014,Eve Energy,
SSE: 601939,China Construction Bank,
SSE: 600958,Orient Securities,
SSE: 600893,AVIC Aviation Engine Corporation,
SZSE: 002460,Ganfeng Lithium,
SSE: 601009,Bank of Nanjing,
SZSE: 000538,Yunnan Baiyao Group,
SSE: 601669,Power Construction Corporation of China,
SSE: 600009,Shanghai International Airport,
SZSE: 002129,Tianjin Zhonghuan Semiconductor,
SSE: 603993,China Molybdenum,
SSE: 600886,SDIC Power Holdings,
SSE: 600760,AVIC SHENYANG AIRCRAFT COMPANY,
SZSE: 000425,XCMG Construction Machinery,
SZSE: 000776,GF Securities,
SSE: 601916,China Zheshang Bank,
SSE: 600795,GD Power Development,
SZSE: 000661,Chang Chun High and New Technology Industry (Group),
SZSE: 000166,Shenwan Hongyuan,
SSE: 600426,Shandong Hualu-Hengsheng Chemical,
SSE: 600015,Hua Xia Bank,
SZSE: 300782,Maxscend Microelectronics,
SSE: 601377,Industrial Securities,
SSE: 601186,China Railway Construction,
SZSE: 000157,Zoomlion Heavy Industry Science & Technology,
SZSE: 002241,GoerTek,
SSE: 600926,Bank of Hangzhou,
SSE: 600547,Shandong Gold-Mining,
SSE: 600011,Huaneng Power International,
SZSE: 000977,Inspur Electronic Information Industry,
SZSE: 002252,Shanghai RAAS Blood Products,
SSE: 600674,Sichuan Chuantou Energy,
SSE: 603799,ZHEJIANG HUAYOU COBALT,
SSE: 600584,JCET,
SSE: 600570,Hundsun Technologies,
SZSE: 002236,Zhejiang Dahua Technology,
SZSE: 002179,AVIC Jonhon Optronic Technology,
SZSE: 000596,Anhui Gujing Distillery,
SZSE: 002311,Guangdong Haid Group,
SSE: 600188,Yanzhou Coal Mining,
SZSE: 300896,IMEIK TECHNOLOGY DEVELOPMENT,
SSE: 688256,Cambricon Technologies,
SSE: 600010,Inner Mongolia Baotou Steel Union,
SZSE: 002271,Beijing Oriental Yuhong Waterproof Technology,
SSE: 601111,Air China,
SZSE: 001979,China Merchants Shekou Industrial Zone Holdings,
SZSE: 300408,Chaozhou Three-Circle,
SSE: 600845,Baosight Software,
SSE: 603369,Jiangsu King's Luck Brewery Joint-Stock,
SSE: 600989,Ningxia Baofeng Energy Group,
SSE: 600745,Wingtech,
SSE: 601788,Everbright Securities,
SSE: 600115,China Eastern Airlines Corp,
SSE: 600029,China Southern Airlines,
SZSE: 002601,LB Group,
SSE: 601360,360 Security Technology,
SSE: 601901,Founder Securities,
SZSE: 002493,Rongsheng Petro Chemical,
SSE: 600196,Fosun Pharmaceutical,
SZSE: 002459,JA Solar Technology,
